This is a development document only and has no instructional or debugging value.

VIDEO
smoothstreaming Smooth Streaming Muxer
svcd            MPEG-2 PS SVCD
swf             SWF ShockWave Flash
truehd          raw TrueHD
vc1             raw VC-1 video
vc1test         VC-1 test bitstream
vcd             MPEG-1 Systems / MPEG program stream VCD
vob             MPEG-2 PS VOB
vvc             raw H.266/VVC video
webm            WebM
yuv4mpegpipe    YUV4MPEG pipe
mpjpeg          MIME multipart JPEG
mxf             MXF Material eXchange Format
mxf_d10         MXF Material eXchange Format D-10 Mapping
mxf_opatom      MXF Material eXchange Format Operational Pattern Atom
nut             NUT
obu             AV1 low overhead OBU
ogv             Ogg Video
psp             PSP MP4 MPEG-4 Part 14
rawvideo        raw video
rm              RealMedia
roq             raw id RoQ
rtp_mpegts      RTP/mpegts output format
smjpeg          Loki SDL MJPEG
hevc            raw HEVC video
hls             Apple HTTP Live Streaming
image2          image2 sequence
image2pipe      piped image2 sequence
ipod            iPod H.264 MP4 MPEG-4 Part 14
ismv            ISMV/ISMA Smooth Streaming
ivf             On2 IVF
m4v             raw MPEG-4 video
matroska        Matroska
mjpeg           raw MJPEG video
mkvtimestamp_v2 extract pts as timecode v2 format
mov             QuickTime / MOV
mp4             MP4 MPEG-4 Part 14
mpeg            MPEG-1 Systems / MPEG program stream
mpeg1video      raw MPEG-1 video
mpeg2video      raw MPEG-2 video
mpegts          MPEG-TS MPEG-2 Transport Stream
mpegtsraw       raw MPEG-TS MPEG-2 Transport Stream
mpegvideo       MPEG-TS MPEG-2 Transport Stream
fbdev           Linux framebuffer
film_cpk        Sega FILM / CPK
filmstrip       Adobe Filmstrip
flv             FLV Flash Video
gxf             GXF General eXchange Format
h261            raw H.261
h263            raw H.263
h264            raw H.264 video
hds             HDS Muxer
avs2            raw AVS2-P2/IEEE1857.4
avs3            AVS3-P2/IEEE1857.10
cavsvideo       raw Chinese AVS Audio Video Standard
codec2          codec2 .c2 muxer
codec2raw       raw codec2 muxer
dirac           raw Dirac
dnxhd           raw DNxHD SMPTE VC-3
dv              DV Digital Video
dvd             MPEG-2 PS DVD VOB
evc             raw EVC video
3g2             3GP2 3GPP2 file format
3gp             3GP 3GPP file format
apng            Animated Portable Network Graphics
argo_asf        Argonaut Games ASF
argo_cvg        Argonaut Games CVG
asf             ASF Advanced / Active Streaming Format
asf_stream      ASF Advanced / Active Streaming Format
